"","Year","Scenario","TraceNumber","CNF_LF","ID"
"319",2027,"ObsRes",8,19.024047,319
"320",2028,"ObsRes",8,13.877797,320
"321",2029,"ObsRes",8,14.430703,321
"322",2030,"ObsRes",8,15.21373,322
"323",2031,"ObsRes",8,19.539212,323
"324",2032,"ObsRes",8,16.954335,324
"325",2033,"ObsRes",8,21.829584,325
"326",2034,"ObsRes",8,14.62104,326
"327",2035,"ObsRes",8,8.474133,327
"328",2036,"ObsRes",8,17.422186,328
"329",2037,"ObsRes",8,12.183502,329
"330",2038,"ObsRes",8,6.17819,330
"331",2039,"ObsRes",8,12.630349,331
"332",2040,"ObsRes",8,14.648871,332
"333",2041,"ObsRes",8,14.306056,333
"334",2042,"ObsRes",8,18.148319,334
"335",2043,"ObsRes",8,11.164062,335
"336",2044,"ObsRes",8,9.931656,336
"337",2045,"ObsRes",8,20.116677,337
"338",2046,"ObsRes",8,17.225136,338
"339",2047,"ObsRes",8,13.731401,339
"340",2048,"ObsRes",8,15.369422,340
"341",2049,"ObsRes",8,14.140528,341
"342",2050,"ObsRes",8,11.095455,342
"343",2051,"ObsRes",8,16.439485,343
"344",2052,"ObsRes",8,15.139293,344
"345",2053,"ObsRes",8,16.933581,345
"346",2054,"ObsRes",8,13.140416,346
"347",2055,"ObsRes",8,12.505894,347
"348",2056,"ObsRes",8,20.805422,348
"349",2057,"ObsRes",8,11.165419,349
"350",2058,"ObsRes",8,8.496102,350
"351",2059,"ObsRes",8,9.413908,351
"352",2060,"ObsRes",8,11.426874,352
"353",2017,"ObsRes",9,21.354813,353
"354",2018,"ObsRes",9,13.623272,354
"355",2019,"ObsRes",9,20.142885,355
"356",2020,"ObsRes",9,22.942804,356
"357",2021,"ObsRes",9,15.865937,357
"358",2022,"ObsRes",9,12.651367,358
"359",2023,"ObsRes",9,22.287631,359
"360",2024,"ObsRes",9,22.526783,360
"361",2025,"ObsRes",9,18.447196,361
"362",2026,"ObsRes",9,19.024047,362
"363",2027,"ObsRes",9,13.877797,363
"364",2028,"ObsRes",9,14.430703,364
"365",2029,"ObsRes",9,15.21373,365
"366",2030,"ObsRes",9,19.539212,366
"367",2031,"ObsRes",9,16.954335,367
"368",2032,"ObsRes",9,21.829584,368
"369",2033,"ObsRes",9,14.62104,369
"370",2034,"ObsRes",9,8.474133,370
"371",2035,"ObsRes",9,17.422186,371
"372",2036,"ObsRes",9,12.183502,372
"373",2037,"ObsRes",9,6.17819,373
"374",2038,"ObsRes",9,12.630349,374
"375",2039,"ObsRes",9,14.648871,375
"376",2040,"ObsRes",9,14.306056,376
"377",2041,"ObsRes",9,18.148319,377
"378",2042,"ObsRes",9,11.164062,378
"379",2043,"ObsRes",9,9.931656,379
"380",2044,"ObsRes",9,20.116677,380
"381",2045,"ObsRes",9,17.225136,381
"382",2046,"ObsRes",9,13.731401,382
"383",2047,"ObsRes",9,15.369422,383
"384",2048,"ObsRes",9,14.140528,384
"385",2049,"ObsRes",9,11.095455,385
"386",2050,"ObsRes",9,16.439485,386
"387",2051,"ObsRes",9,15.139293,387
"388",2052,"ObsRes",9,16.933581,388
"389",2053,"ObsRes",9,13.140416,389
"390",2054,"ObsRes",9,12.505894,390
"391",2055,"ObsRes",9,20.805422,391
"392",2056,"ObsRes",9,11.165419,392
"393",2057,"ObsRes",9,8.496102,393
"394",2058,"ObsRes",9,9.413908,394
"395",2059,"ObsRes",9,11.426874,395
"396",2060,"ObsRes",9,21.500963,396
"397",2017,"ObsRes",10,13.623272,397
"398",2018,"ObsRes",10,20.142885,398
"399",2019,"ObsRes",10,22.942804,399
"400",2020,"ObsRes",10,15.865937,400
"401",2021,"ObsRes",10,12.651367,401
"402",2022,"ObsRes",10,22.287631,402
"403",2023,"ObsRes",10,22.526783,403
"404",2024,"ObsRes",10,18.447196,404
"405",2025,"ObsRes",10,19.024047,405
"406",2026,"ObsRes",10,13.877797,406
"407",2027,"ObsRes",10,14.430703,407
"408",2028,"ObsRes",10,15.21373,408
"409",2029,"ObsRes",10,19.539212,409
"410",2030,"ObsRes",10,16.954335,410
"411",2031,"ObsRes",10,21.829584,411
"412",2032,"ObsRes",10,14.62104,412
"413",2033,"ObsRes",10,8.474133,413
"414",2034,"ObsRes",10,17.422186,414
"415",2035,"ObsRes",10,12.183502,415
"416",2036,"ObsRes",10,6.17819,416
"417",2037,"ObsRes",10,12.630349,417
"418",2038,"ObsRes",10,14.648871,418
"419",2039,"ObsRes",10,14.306056,419
"420",2040,"ObsRes",10,18.148319,420
"421",2041,"ObsRes",10,11.164062,421
"422",2042,"ObsRes",10,9.931656,422
"423",2043,"ObsRes",10,20.116677,423
"424",2044,"ObsRes",10,17.225136,424
"425",2045,"ObsRes",10,13.731401,425
"426",2046,"ObsRes",10,15.369422,426
"427",2047,"ObsRes",10,14.140528,427
"428",2048,"ObsRes",10,11.095455,428
"429",2049,"ObsRes",10,16.439485,429
"430",2050,"ObsRes",10,15.139293,430
"431",2051,"ObsRes",10,16.933581,431
"432",2052,"ObsRes",10,13.140416,432
"433",2053,"ObsRes",10,12.505894,433
"434",2054,"ObsRes",10,20.805422,434
"435",2055,"ObsRes",10,11.165419,435
"436",2056,"ObsRes",10,8.496102,436
"437",2057,"ObsRes",10,9.413908,437
"438",2058,"ObsRes",10,11.426874,438
"439",2059,"ObsRes",10,21.500963,439
"440",2060,"ObsRes",10,15.862511,440
"441",2017,"ObsRes",11,20.142885,441
"442",2018,"ObsRes",11,22.942804,442
"443",2019,"ObsRes",11,15.865937,443
"444",2020,"ObsRes",11,12.651367,444
"445",2021,"ObsRes",11,22.287631,445
"446",2022,"ObsRes",11,22.526783,446
"447",2023,"ObsRes",11,18.447196,447
"448",2024,"ObsRes",11,19.024047,448
"449",2025,"ObsRes",11,13.877797,449
"450",2026,"ObsRes",11,14.430703,450
"451",2027,"ObsRes",11,15.21373,451
"452",2028,"ObsRes",11,19.539212,452
"453",2029,"ObsRes",11,16.954335,453
"454",2030,"ObsRes",11,21.829584,454
"455",2031,"ObsRes",11,14.62104,455
"456",2032,"ObsRes",11,8.474133,456
"457",2033,"ObsRes",11,17.422186,457
"458",2034,"ObsRes",11,12.183502,458
"459",2035,"ObsRes",11,6.17819,459
"460",2036,"ObsRes",11,12.630349,460
"461",2037,"ObsRes",11,14.648871,461
"462",2038,"ObsRes",11,14.306056,462
"463",2039,"ObsRes",11,18.148319,463
"464",2040,"ObsRes",11,11.164062,464
"465",2041,"ObsRes",11,9.931656,465
"466",2042,"ObsRes",11,20.116677,466
"467",2043,"ObsRes",11,17.225136,467
"468",2044,"ObsRes",11,13.731401,468
"469",2045,"ObsRes",11,15.369422,469
"470",2046,"ObsRes",11,14.140528,470
"471",2047,"ObsRes",11,11.095455,471
"472",2048,"ObsRes",11,16.439485,472
"473",2049,"ObsRes",11,15.139293,473
"474",2050,"ObsRes",11,16.933581,474
"475",2051,"ObsRes",11,13.140416,475
"476",2052,"ObsRes",11,12.505894,476
"477",2053,"ObsRes",11,20.805422,477
"478",2054,"ObsRes",11,11.165419,478
"479",2055,"ObsRes",11,8.496102,479
"480",2056,"ObsRes",11,9.413908,480
"481",2057,"ObsRes",11,11.426874,481
"482",2058,"ObsRes",11,21.500963,482
"483",2059,"ObsRes",11,15.862511,483
"484",2060,"ObsRes",11,9.598169,484
"485",2017,"ObsRes",12,22.942804,485
"486",2018,"ObsRes",12,15.865937,486
"487",2019,"ObsRes",12,12.651367,487
"488",2020,"ObsRes",12,22.287631,488
"489",2021,"ObsRes",12,22.526783,489
"490",2022,"ObsRes",12,18.447196,490
"491",2023,"ObsRes",12,19.024047,491
"492",2024,"ObsRes",12,13.877797,492
"493",2025,"ObsRes",12,14.430703,493
"494",2026,"ObsRes",12,15.21373,494
"495",2027,"ObsRes",12,19.539212,495
"496",2028,"ObsRes",12,16.954335,496
"497",2029,"ObsRes",12,21.829584,497
"498",2030,"ObsRes",12,14.62104,498
"499",2031,"ObsRes",12,8.474133,499
"500",2032,"ObsRes",12,17.422186,500
"501",2033,"ObsRes",12,12.183502,501
"502",2034,"ObsRes",12,6.17819,502
"503",2035,"ObsRes",12,12.630349,503
"504",2036,"ObsRes",12,14.648871,504
"505",2037,"ObsRes",12,14.306056,505
"506",2038,"ObsRes",12,18.148319,506
"507",2039,"ObsRes",12,11.164062,507
"508",2040,"ObsRes",12,9.931656,508
"509",2041,"ObsRes",12,20.116677,509
"510",2042,"ObsRes",12,17.225136,510
"511",2043,"ObsRes",12,13.731401,511
"512",2044,"ObsRes",12,15.369422,512
"513",2045,"ObsRes",12,14.140528,513
"514",2046,"ObsRes",12,11.095455,514
"515",2047,"ObsRes",12,16.439485,515
"516",2048,"ObsRes",12,15.139293,516
"517",2049,"ObsRes",12,16.933581,517
"518",2050,"ObsRes",12,13.140416,518
"519",2051,"ObsRes",12,12.505894,519
"520",2052,"ObsRes",12,20.805422,520
"521",2053,"ObsRes",12,11.165419,521
"522",2054,"ObsRes",12,8.496102,522
"523",2055,"ObsRes",12,9.413908,523
"524",2056,"ObsRes",12,11.426874,524
"525",2057,"ObsRes",12,21.500963,525
"526",2058,"ObsRes",12,15.862511,526
"527",2059,"ObsRes",12,9.598169,527
"528",2060,"ObsRes",12,11.52416,528
"529",2017,"ObsRes",13,15.865937,529
"530",2018,"ObsRes",13,12.651367,530
"531",2019,"ObsRes",13,22.287631,531
"532",2020,"ObsRes",13,22.526783,532
"533",2021,"ObsRes",13,18.447196,533
"534",2022,"ObsRes",13,19.024047,534
"535",2023,"ObsRes",13,13.877797,535
"536",2024,"ObsRes",13,14.430703,536
"537",2025,"ObsRes",13,15.21373,537
"538",2026,"ObsRes",13,19.539212,538
"539",2027,"ObsRes",13,16.954335,539
"540",2028,"ObsRes",13,21.829584,540
"541",2029,"ObsRes",13,14.62104,541
"542",2030,"ObsRes",13,8.474133,542
"543",2031,"ObsRes",13,17.422186,543
"544",2032,"ObsRes",13,12.183502,544
"545",2033,"ObsRes",13,6.17819,545
"546",2034,"ObsRes",13,12.630349,546
"547",2035,"ObsRes",13,14.648871,547
"548",2036,"ObsRes",13,14.306056,548
"549",2037,"ObsRes",13,18.148319,549
"550",2038,"ObsRes",13,11.164062,550
"551",2039,"ObsRes",13,9.931656,551
"552",2040,"ObsRes",13,20.116677,552
"553",2041,"ObsRes",13,17.225136,553
"554",2042,"ObsRes",13,13.731401,554
"555",2043,"ObsRes",13,15.369422,555
"556",2044,"ObsRes",13,14.140528,556
"557",2045,"ObsRes",13,11.095455,557
"558",2046,"ObsRes",13,16.439485,558
"559",2047,"ObsRes",13,15.139293,559
